תאריך,שם נייר ערך,"מספר ני""ע",סוג,תשואה ברוטו,"מח""מ",,דירוג מעלות,שער אחרון
16/04/2017,רבוע נדלן אגח ג,1115724,צמוד מדד,3.44%,1.01,רבוע נדלן,A+,112.52
16/04/2017,רבוע נדלן אגח ד,1119999,צמוד מדד,1.07%,1.65,רבוע נדלן,A+,114.34
16/04/2017,רבוע נדלן אגח ה,1130467,צמוד מדד,1.92%,4.37,רבוע נדלן,A+,107.44
16/04/2017,רבוע נדלן אגח ו,1140607,צמוד מדד,2.29%,6.9,רבוע נדלן,A+,99.49
16/04/2017,רבוע נדלן אגח ז,1140615,צמוד מדד,1.71%,6.64,רבוע נדלן,A+,99.68
16/04/2017,רגנסי אגח א,5510029,לא צמוד,3.22%,1.62,רגנסי,BBB+,107.41
16/04/2017,ריט 1 אגח א,1106657,צמוד מדד,1.10%,0.29,רייט,AA-,121.59
16/04/2017,ריט 1 אגח ג,1120021,צמוד מדד,0.93%,2.24,רייט,AA-,113.93
16/04/2017,ריט 1 אגח ד,1129899,צמוד מדד,1.65%,5.06,רייט,AA-,112.67
16/04/2017,ריט 1 אגח ה,1136753,צמוד מדד,2.14%,7.39,רייט,AA-,114.68
16/04/2017,ריט 1 אגח ו,1138544,צמוד מדד,2.49%,8.74,רייט,AA-,109.97
16/04/2017,רילייטד אגח א,1134923,לא צמוד,3.33%,3,ריילייטד,A+,105.65
16/04/2017,רכבת ישר אגח א,1134980,לא צמוד,0.91%,1.93,רכבת ישראל,AA+,100.7
16/04/2017,רכבת ישר אגח ב,1134998,צמוד מדד,0.48%,1.94,רכבת ישראל,AA+,100.75
16/04/2017,שופרסל אגח ב,7770142,צמוד מדד,0.95%,1.44,שופרסל,A+,130.49
16/04/2017,שופרסל אגח ד,7770191,צמוד מדד,1.92%,5.87,שופרסל,A+,107.89
16/04/2017,שופרסל אגח ה,7770209,לא צמוד,2.88%,5.57,שופרסל,A+,115.18
16/04/2017,שופרסל אגח ו,7770217,צמוד מדד,2.25%,6.49,שופרסל,A+,116.1
16/04/2017,שטראוס אגח ב,7460140,צמוד מדד,0.83%,0.78,שטראוס,AA+,123.76
16/04/2017,שטראוס אגח ד,7460363,לא צמוד,1.66%,4.17,שטראוס,AA+,112.49
16/04/2017,שכון ובי אגח 4,1117910,צמוד מדד,1.42%,1.36,שיכון ובינוי,A,113.41
16/04/2017,שכון ובי אגח 5,1125210,צמוד מדד,1.56%,2.55,שיכון ובינוי,A,114.36
16/04/2017,שכון ובי אגח 6,1129733,צמוד מדד,2.66%,5.12,שיכון ובינוי,A,109.01
16/04/2017,שכון ובי אגח 7,1129741,לא צמוד,3.21%,4.84,שיכון ובינוי,A,115.52
16/04/2017,שכון ובי אגח 8,1135888,צמוד מדד,3.38%,6.49,שיכון ובינוי,A,105.4
16/04/2017,שלמה החז אגח טו,1410273,לא צמוד,1.41%,1.45,שלמה החזקות,A,107.14
16/04/2017,שלמה החז אגח טז,1410281,צמוד מדד,1.67%,3,שלמה החזקות,A,101.49
16/04/2017,שלמה החז אגח יא,1410224,צמוד מדד,1.21%,0.45,שלמה החזקות,A,104.99
16/04/2017,שלמה החז אגח יב,1410232,לא צמוד,0.90%,0.45,שלמה החזקות,A,102.29
16/04/2017,שלמה החז אגח יד,1410265,צמוד מדד,1.34%,1.46,שלמה החזקות,A,104.57
16/04/2017,שפיר הנדס אגח א,1136134,לא צמוד,2.14%,4.16,שפיר,A+,105.23
16/04/2017,תעש אוירית אגחב,1115997,לא צמוד,0.38%,0.04,תעשיה אוירית,AA,102.46
16/04/2017,תעש אוירית אגחג,1127547,לא צמוד,0.95%,2.13,תעשיה אוירית,AA,108.05
16/04/2017,תעש אוירית אגחד,1133131,לא צמוד,1.13%,5.45,תעשיה אוירית,AA,99.98
