שם אגח,תשואה ברוטו,תשואה נטו,מחמ,חברה,דירוג 
בזק אגח 8,0.25,-1.54,0.23,בזק,AA
בזק אגח 9,3,2.44,6.61,בזק,AA
בי קומיונק אגחב,1.06,-0.24,1.03,בי קומיוניק, 
בי קומיונק אגחג,3.4,2.82,6.13,בי קומיוניק, 
ביאיר אגח 14,0.63,-0.44,0.42,ב.יאיר, 
ביג אגח ג,0.92,-0.72,1.04,ביג, 
ביג אגח ד,0.73,-0.23,2.56,ביג, 
ביג אגח ה,1.43,0.72,4,ביג, 
ביג אגח ו,2.09,1.56,4.74,ביג, 
ביג אגח ז,2.02,1.37,5.84,ביג, 
ביג אגח ח,1.85,1.48,6.42,ביג, 
בינל הנפק אגח ג,0.59,-1.09,0.88,בינל,AA+
בינל הנפק אגח ח,1.18,0.88,2.79,בינל,AA+
בינל הנפק אגח ט,0.65,0.39,3.01,בינל,AA+
בינל הנפק התח ד,1.15,0.17,2.45,בינל,AA
בינל הנפק התח ה,1.11,-0.73,0.26,בינל,AA
בינל הנפק התח כ,0.56,-0.21,2.35,בינל,AA
בינל הנפק התחכא,0.72,-0.14,2.26,בינל,AA
בינל הנפק התחכב,1.97,1.17,4.04,בינל,A+
בינלהנפ שה נד ב,0.51,-1.38,0.97,בינל,AA
בית הזהב אגח ב,3.2,2.46,4.44,בית הזהב,BBB+
בית הזהב אגח ג,3.44,2.86,5.13,בית הזהב,BBB+
בנלהנ אוצר הת ו,5.76,-0.61,0.08,, 
בראק אן וי אגחא,1.09,-0.14,1.8,ברקן אן וי,AA-
בראק אן וי אגחב,1.66,0.85,4.85,ברקן אן וי,AA-
בראק אן וי אגחג,2.49,1.67,6.91,ברקן אן וי,AA-
ברוקלנד אגח א,5.23,4.1,2,ברוקלנד,BBB+
ברוקלנד אגח ב,7.33,5.9,3.2,ברוקלנד,BBB+
ברם אגח א,2.22,1.41,2.47,ברם,BBB+
ג'י.אף.אי אגח א,5.13,3.83,2.69,ג'י.אף.איי,A-
גאון אחז אגח ב,2.58,1.45,1.64,גאון, 
גב ים אגח ה,1.2,-0.77,0.55,גב ים,AA-
גב ים אגח ו,1.89,0.73,5.71,גב ים,AA-
גב ים אגח ז,0.75,-0.69,0.63,גב ים,AA-
גולד אגח ג,2.7,2.26,3.35,גולד, 
גזית גלוב אגח א,7.14,1.95,0.31,גזית גלוב,AA-
גזית גלוב אגח ג,1.16,-0.25,1.04,גזית גלוב,AA-
גזית גלוב אגח ד,1.69,0.15,2.89,גזית גלוב,AA-
גזית גלוב אגח ה,1,0.84,0.56,גזית גלוב,AA-
גזית גלוב אגח ט,1.17,-0.29,1.28,גזית גלוב,AA-
גזית גלוב אגח י,0.83,-0.92,2.29,גזית גלוב,AA-
גזית גלוב אגחיא,2.46,1.12,4.89,גזית גלוב,AA-
גזית גלוב אגחיב,3.51,2.49,7.51,גזית גלוב,AA-
גינדי אגח ד,2.9,1.77,1.27,גינדי, 
גירון אגח ג,1.51,0.37,1.77,גירון, 
גירון אגח ד,2.39,1.56,4.46,גירון, 
גירון אגח ה,3.3,2.75,5.24,גירון, 
גירון אגח ו,2.68,2.03,6.37,גירון, 
גלובל כנפ אגח א,2.18,1.03,1.65,גלובל כנפיים,A-
גלובל כנפ אגח ב,3.94,2.58,4.32,גלובל כנפיים,A-
גלובל פינ8אגח ד,3.74,2.64,1.02,גלובל פיננס, 
גליל מור אגח א,48.21,46.51,0.48,גליל מור, 
גמול השק אגח ב,56.33,52.5,1.63,גמול השק, 
דה זראסאי אגח א,1.47,0.3,2.83,דה זראסאי,AA-
דה זראסאי אגח ב,2.73,1.99,3.66,דה זראסאי,AA-
דה זראסאי אגח ג,3.73,3.05,5.55,דה זראסאי,AA-
דה לסר אגח ב,2.46,0.59,1.2,דה לסר,A-
דה לסר אגח ג,2.89,1.55,2.27,דה לסר,A-
דה לסר אגח ד,4.35,3.62,3.39,דה לסר,A-
דה לסר אגח ה,6.13,5.04,5.28,דה לסר,A-
דור אלון אגח ג,0.91,0.53,0.48,דור אלון, 
דור אלון אגח ה,2.35,1.65,3.1,דור אלון, 
דורסל אגח ב,1.39,0.64,2.25,דורסל,A-
דורסל אגח ג,3.46,2.89,4.89,דורסל,A-
דיסק השק אגח ו,3.72,2.48,4.31,דיסקונט,BBB
דיסק השק אגח ח,2,0.35,1.26,דיסקונט,BBB
דיסק השק אגח ט,0.63,-0.5,0.84,דיסקונט,BBB
דיסק התח נד י,0.76,-0.2,3.53,דיסקונט,AA
דיסק התח נד יא,1.35,0.43,3.41,דיסקונט,AA
דיסק מנ שה נד 1,1.06,-0.48,2.86,דיסקונט,A+
דיסקונט מנ הת א,1.42,-2.06,0.55,דיסקונט,AA
דיסקונט מנ הת ב,0.77,-0.65,1.69,דיסקונט,AA
דיסקונט מנ הת ד,0.47,-0.73,3.01,דיסקונט,AA
דיסקונט מנ הת ה,0.66,-0.2,1.48,דיסקונט,AA
דיסקונט מנ הת ט,0.27,-0.06,0.48,דיסקונט,AA
דיסקונט שה א,1.7,0.47,4.31,דיסקונט,A
דלק אנרגיה אגחה,0.61,-0.73,1.34,דלק אנרגיה, 
