תאריך,שם נייר ערך,"מספר ני""ע",סוג,תשואה ברוטו,"מח""מ",,דירוג מעלות,שער אחרון
25/01/2017,פז נפט אגח ו,1139542,צמוד מדד,1.63,5.92,פז נפט,AA-,102.16
25/01/2017,פלאזה סנט אגח א,1109495,צמוד מדד,17.69,2,פלאזה סנט,CCC,96.7
25/01/2017,פלאזה סנט אגח ב,1109503,צמוד מדד,16.98,2.34,פלאזה סנט,CCC,94
25/01/2017,פניקס הון אגח ב,1120799,צמוד מדד,0.91,2.55,פניקס,AA-,114.06
25/01/2017,פניקס הון אגח ג,1120807,לא צמוד,0.50,0.66,פניקס,AA-,105.65
25/01/2017,פניקס הון התח א,1115104,צמוד מדד,0.79,1.07,פניקס,AA,113.89
25/01/2017,פרטנר אגח ג,1118827,צמוד מדד,1.00,1.4,פרטנר,A+,111.81
25/01/2017,פרטנר אגח ד,1118835,לא צמוד,1.28,2.86,פרטנר,A+,100.34
25/01/2017,פרטנר אגח ה,1118843,לא צמוד,1.00,0.91,פרטנר,A+,104.56
25/01/2017,צרפתי אגח ז,4250163,לא צמוד,2.31,1.15,צרפתי,BBB+,105.8
25/01/2017,צרפתי אגח ח,4250189,לא צמוד,3.09,2.85,צרפתי,BBB+,102.8
25/01/2017,קופרליין אגח א,1136589,לא צמוד,3.65,2.18,קופרליין,A,106.79
25/01/2017,קיי.בי.אס אגח א,1137918,לא צמוד,4.18,3.71,קיי.בי.אס,AA-,101.99
25/01/2017,קרדן אןוי אגח א,1105535,צמוד מדד,23.07,1.06,קרדן,B,103.76
25/01/2017,קרדן אןוי אגח ב,1113034,צמוד מדד,29.54,2,קרדן,B,80.1
25/01/2017,קרדן רכב אגח ו,4590097,צמוד מדד,5.40,0.15,קרדן,A,122.06
25/01/2017,קרדן רכב אגח ח,4590147,לא צמוד,3.20,3.06,קרדן,A,101.52
25/01/2017,קרדן רכב אגח ט,4590162,צמוד מדד,2.76,3.09,קרדן,A,100.3
25/01/2017,רבוע נדלן אגח ג,1115724,צמוד מדד,1.15,1.23,רבוע נדלן,A+,112.39
25/01/2017,רבוע נדלן אגח ד,1119999,צמוד מדד,1.26,1.87,רבוע נדלן,A+,114.2
25/01/2017,רבוע נדלן אגח ה,1130467,צמוד מדד,2.27,4.58,רבוע נדלן,A+,105.21
25/01/2017,רגנסי אגח א,5510029,לא צמוד,3.40,1.84,רגנסי,BBB+,106.31
25/01/2017,ריט 1 אגח א,1106657,צמוד מדד,1.12,0.51,רייט,AA-,121.16
25/01/2017,ריט 1 אגח ג,1120021,צמוד מדד,1.08,2.35,רייט,AA-,115.01
25/01/2017,ריט 1 אגח ד,1129899,צמוד מדד,1.74,5.19,רייט,AA-,113.69
25/01/2017,ריט 1 אגח ה,1136753,צמוד מדד,2.31,7.04,רייט,AA-,113.89
25/01/2017,ריט 1 אגח ו,1138544,צמוד מדד,2.37,8.45,רייט,AA-,111.62
25/01/2017,רילייטד אגח א,1134923,לא צמוד,3.87,3.14,ריילייטד,A+,105.53
25/01/2017,רכבת ישר אגח א,1134980,לא צמוד,1.06,1.9,רכבת ישראל,AA+,100.75
25/01/2017,רכבת ישר אגח ב,1134998,צמוד מדד,0.69,1.91,רכבת ישראל,AA+,100.4
25/01/2017,שופרסל אגח ב,7770142,צמוד מדד,0.98,1.14,שופרסל,A+,133.84
25/01/2017,שופרסל אגח ג,7770167,לא צמוד,0.43,0.02,שופרסל,A+,105.44
25/01/2017,שופרסל אגח ד,7770191,צמוד מדד,2.36,6.03,שופרסל,A+,104.61
25/01/2017,שופרסל אגח ה,7770209,לא צמוד,3.44,5.72,שופרסל,A+,110.95
25/01/2017,שופרסל אגח ו,7770217,צמוד מדד,2.62,6.68,שופרסל,A+,112.57
25/01/2017,שטראוס אגח ב,7460140,צמוד מדד,0.79,1.01,שטראוס,AA+,123.45
25/01/2017,שטראוס אגח ד,7460363,לא צמוד,1.73,4.16,שטראוס,AA+,113.45
25/01/2017,שכון ובי אגח 4,1117910,צמוד מדד,1.92,1.09,שיכון ובינוי,A,113.13
25/01/2017,שכון ובי אגח 5,1125210,צמוד מדד,1.67,2.77,שיכון ובינוי,A,113.54
25/01/2017,שכון ובי אגח 6,1129733,צמוד מדד,2.99,5.02,שיכון ובינוי,A,108.24
25/01/2017,שכון ובי אגח 7,1129741,לא צמוד,3.44,4.73,שיכון ובינוי,A,115.84
25/01/2017,שכון ובי אגח 8,1135888,צמוד מדד,3.71,6.65,שיכון ובינוי,A,102.47
25/01/2017,שלמה החז אגח טו,1410273,לא צמוד,1.71,1.53,שלמה החזקות,A,107.12
25/01/2017,שלמה החז אגח טז,1410281,צמוד מדד,2.08,3.08,שלמה החזקות,A,100.43
25/01/2017,שלמה החז אגח יא,1410224,צמוד מדד,1.84,0.55,שלמה החזקות,A,104.7
25/01/2017,שלמה החז אגח יב,1410232,לא צמוד,1.50,0.55,שלמה החזקות,A,102.55
25/01/2017,שלמה החז אגח יד,1410265,צמוד מדד,1.84,1.55,שלמה החזקות,A,104
25/01/2017,שפיר הנדס אגח א,1136134,לא צמוד,2.41,4.29,שפיר,A+,105.14
25/01/2017,תעש אוירית אגחב,1115997,לא צמוד,0.32,0.26,תעשיה אוירית,AA,102.39
25/01/2017,תעש אוירית אגחג,1127547,לא צמוד,1.12,2.35,תעשיה אוירית,AA,107.41
25/01/2017,תעש אוירית אגחד,1133131,לא צמוד,1.23,5.67,תעשיה אוירית,AA,99.17
