6379,0,1419,8288,1172,356,655,111,28,22,49,25
26021,0,79770,194640,119485,84155,38293,11226,8521,23142,5125,3212
124355,0,192981,262268,150830,66100,97724,14178,15713,31659,15015,10496
166028,0,76723,59730,2328,26444,2778,22,326,1831,26,45
6370,0,109979,143204,35650,37889,21052,1951,4701,10283,1424,1093
28410,0,5860,38809,3509,5094,852,161,37,38,56,14
12123,0,86653,348700,670505,96423,62160,89838,6659,14073,16880,10032
124358,0,79071,135761,20011,30811,16214,847,3328,5510,846,546
12124,0,249845,899917,425674,293458,117332,33381,25725,37076,12368,6168
10631,0,620428,1239458,144835,796195,124323,5213,17159,185036,3071,15270
10411,0,58500,145605,67579,29199,41146,9028,3579,8278,9105,7479
63814,0,910311,1567176,1869934,487764,2270510,634005,187501,811244,1110973,1950072
162742,0,2313,6853,271,278,733,7,11,131,6,26
11944,0,21124,45908,93198,10436,51885,30974,6565,17358,29535,27241
133346,0,87227,130730,18743,39860,17751,1056,3167,8001,1251,970
63447,0,29474,48304,70381,11297,42292,25490,4842,13856,22590,18915
175465,0,77745,122865,59756,35020,20333,4090,3081,6431,2152,1461
185227,0,21139,47610,164936,11852,53890,67683,6364,18401,42032,34723
10382,0,4784,5843,109,3215,0,0,0,0,0,0
121142,0,12383,41106,12823,9090,13883,1044,946,5705,1664,2854
160256,0,55210,92036,31064,21631,16238,2151,1664,3964,1602,1290
160375,0,317690,690107,698033,584137,507418,145962,63495,413804,140387,188894
160255,0,89233,225761,81058,231275,17654,1598,3662,17011,659,530
63448,0,73256,74952,0,180316,1405,0,0,7298,0,84
135965,0,178847,219040,601290,55742,246554,166478,29489,54010,118400,65121
16926,0,566444,1140535,2991580,662625,2363274,935952,330509,996815,1168662,2346554
162560,0,931267,2110522,454626,741910,1393555,104351,75843,460601,161798,545424
8947,0,18719,63745,20708,5771,4144,802,512,896,196,88
164416,0,382,864,0,167,0,0,0,0,0,0
125014,0,17448,56966,4730,9958,2991,135,548,660,99,33
157074,0,45769,132423,434433,44426,268874,225853,20240,94110,225170,298093
7260,0,2775,13249,7690,1105,3353,1762,258,571,958,942
12234,0,91881,153444,1107206,63764,259829,473846,34742,99548,188549,130997
63596,0,405,1563,75,183,167,2,3,40,8,10
12236,0,12653,45216,2794,7314,3605,68,446,950,111,67
125531,0,79492,170414,395226,49826,779558,415669,23856,256931,734055,2501164
12233,0,72462,138023,612201,35175,679590,728646,35409,304103,795504,2549128
139025,0,125110,473360,17023,97089,24660,569,4365,11412,786,673
7781,0,9409,11063,573,3605,54,2,20,17,1,0
146017,0,1,72,0,3,0,0,0,0,0,0
14624,0,30465,54874,25493,14541,10658,1765,3325,5645,1219,846
62646,0,541898,1628181,276059,553303,370738,29931,68828,211528,39550,42911
14622,0,99966,208610,279438,45479,886572,241125,22444,251399,639682,2481045
14623,0,129396,209462,213991,40016,143308,63168,19003,47883,54290,43511
160488,0,281437,267694,682866,217142,782082,335080,58572,819101,486558,1454118
66300,0,2571,6079,2615,324,1497,285,140,315,207,98
152049,0,417065,1817491,187842,421831,481699,35813,65515,224633,62049,78399
10567,0,359,1604,0,126,50,0,0,31,0,1
10565,0,4172,40103,4062,1886,4132,551,257,805,347,245
125240,0,9228,34500,16730,3383,4438,1966,337,507,847,315
145729,0,73136,223451,576086,121854,297868,196229,15537,122265,152035,272105
3394,0,3335,36379,2168,3285,1077,124,406,413,48,15
175263,0,424,10086,72,115,276,3,12,60,17,14
1995,0,94177,221392,406773,83642,215466,162408,25700,89221,126122,103828
10096,0,67614,202586,20183,40270,10818,663,1893,3547,489,369
30416,0,1014075,1826824,1505217,1011680,1812952,346988,205505,1081375,580939,1166114
175269,0,1848,44874,3458,7084,1033,162,21,201,59,48
178327,0,27,102,30,2,0,0,0,0,0,0
182112,0,8450,12420,2937,1781,1446,294,44,138,233,377
163610,0,17745,133710,9421,23498,7006,650,338,744,371,403
8838,0,76101,162206,20655,69767,24592,1814,3980,21090,1908,2727
138466,0,160396,312280,322424,76644,897604,252481,31779,420961,466036,2150291
138467,0,259295,281429,288413,63837,143143,46721,29466,52470,34013,22820
147303,0,1048072,2006994,2602810,1089654,1325385,536399,250615,895333,412025,490511
147307,0,432,1075,70,80,37,3,1,20,0,1
147305,0,74,1145,382,49,327,180,15,60,78,241
8832,0,36,111,0,1,0,0,0,0,0,0
25062,0,14829,120857,20637,37453,5402,634,837,1226,247,94
164342,0,595,23141,801,1665,314,22,5,33,5,4
143689,0,107933,298247,64460,45288,78153,9353,7236,15931,14781,13193
138861,0,1497,5896,1097,493,782,68,64,168,60,48
21440,0,4753,16807,9941,2169,4066,2205,192,452,2093,2400
29962,0,50,1221,115,24,5,0,4,4,0,0
30637,0,77785,347347,118231,33887,102596,35744,9352,15807,32460,21915
29964,0,67,1963,89,330,0,0,1,0,0,0
28564,0,153548,268528,234323,54529,226981,79504,19653,96181,84478,148875
61205,0,224422,541869,112954,690428,86854,3160,17131,286450,3522,30854
62088,0,44392,53970,16909,10268,8404,764,626,1417,515,281
12942,0,73556,158435,393287,38980,754757,510385,35482,259442,774940,2522786
24232,0,523286,1070599,2748242,612004,2332074,938069,271916,902491,1315930,2484279
24233,0,491890,1672626,665248,650639,476627,95456,67572,218932,88338,82748
24234,0,5505,48603,13716,5627,4882,1313,351,1932,675,798
12945,0,83328,144682,39789,30266,24781,2927,4606,8215,2091,1317
62243,0,344916,1334988,307462,430960,456708,37429,47468,186565,57826,75902
183228,0,31690,34693,4229,5743,874,52,241,185,12,2
62245,0,854050,1438386,2886107,748875,1951946,1045357,299303,1247465,1187960,1681240
183224,0,54,3754,117,77,33,3,1,1,0,0
175087,0,360,4450,324,119,192,21,7,21,13,6
157493,0,228260,415665,29896,126275,30485,912,3305,9525,1098,777
175083,0,861067,2076264,362061,1012754,1187587,58818,63822,554107,119494,507842
13189,0,89289,394859,116262,32326,113284,34424,9994,17032,32341,21868
137641,0,225397,258736,144231,61358,95697,12841,16472,36179,12509,10400
3580,0,3225,6857,1037,604,496,17,47,76,11,5
137642,0,59182,176296,423350,42258,742431,647060,25460,214405,827310,2547403
175319,0,8357,22166,733,4400,2878,31,234,1737,121,275
135788,0,200600,264452,142965,36549,167800,26974,16121,53063,32614,39671
30259,0,34685,54380,30873,7880,6809,3335,416,1065,697,572
175646,0,794804,2066697,711895,1006994,1304559,154766,93293,544023,194093,571469
156383,0,532051,1645085,449798,594944,457052,66688,52005,184598,65919,68646
156384,0,1168047,1952789,1753892,1204901,933686,348403,183930,681857,278980,254468
29762,0,2488,7927,744,937,485,47,192,130,27,10
1177,0,23619,129353,4861,11419,9358,328,524,1708,358,387
25069,0,1760,7871,1000,291,3230,223,81,658,823,1744
1173,0,7860,19228,2346,1225,501,60,104,106,17,6
30740,0,890916,1362277,1265610,765605,222700,119083,22825,222493,16489,37635
157921,0,14505,44743,1702,9399,708,35,370,315,8,3
13940,0,115923,167651,54717,17976,43245,6873,5170,10909,4668,3714
165699,0,155688,221552,381881,128818,201631,49021,31919,154212,56434,88838
31122,0,785,11374,2547,363,1407,526,31,153,412,425
31692,0,962359,2251509,884889,949923,927512,167200,213976,824842,204962,277826
23500,0,384948,1372074,399543,406706,316988,49775,45570,145955,33897,38109
160719,0,39215,177756,8476,33101,7833,440,617,861,467,444
5530,0,41655,77922,11924,9269,3864,343,58,421,85,42
5539,0,14979,90957,1460,4433,5972,49,228,1674,188,305
162925,0,697359,1466871,338295,637569,340990,27998,39958,175939,34774,35009
147453,0,542,1998,457,155,524,58,4,28,125,269
151708,0,1025,7827,832,293,552,76,39,90,21,36
11169,0,876,6030,38,345,95,0,4,8,1,0
66438,0,161,1342,64,115,0,0,1,0,0,0
11161,0,934,7130,271,139,47,4,11,4,0,0
14403,0,745080,1362116,4565094,969026,1769955,1571358,484078,1413555,1105527,1358044
29108,0,119244,190690,415978,28431,265790,262416,20602,103588,136073,180224
178453,0,30814,130200,12932,19990,7415,1115,602,937,444,182
175995,0,206720,265233,293644,83136,893499,181829,30647,448889,390507,2149220
8762,0,3330,9425,3760,1241,825,184,105,140,63,20
66610,0,58501,227918,18386,42482,14936,826,1279,3571,599,748
7183,0,166410,230010,211705,26411,139350,58690,21651,46116,34867,28878
7185,0,5822,14871,4146,986,562,98,75,30,3,3
7186,0,28183,166649,14114,52056,8034,566,1246,1887,308,142
66161,0,1145197,1641805,1919254,844850,2112817,335455,294885,1358478,756452,1460914
8387,0,92952,274084,145812,97399,163493,9981,9429,122815,30453,84742
8386,0,112,377,46,5,43,1,3,5,5,2
61693,0,1345391,1941509,1239588,1298919,1040898,133553,277077,929687,227373,290365
185269,0,403,12544,1023,288,234,27,42,50,9,7
127644,0,34,259,49,8,29,2,2,0,3,0
13839,0,54407,65324,5223,167467,1634,0,276,4008,2,23
8087,0,996,3385,47,221,0,0,1,0,0,0
184392,0,218638,202393,21594,208629,2897,170,928,3163,32,29
8549,0,143250,224422,148605,141168,99541,5765,14467,67303,10948,17717
8017,0,17236,39991,4557,13282,1667,13,192,559,16,11
65884,0,480052,1261349,284482,420253,380601,15231,56288,193018,36048,55949
