2190,20
2193,111
2201,40
2204,95
2213,67
2214,17
2215,14
2220,44
2222,190
2226,190
2230,49
2237,11
2239,3
2246,19
2249,6
2251,22
2259,82
2265,9
2267,11
2269,6
2270,36
2271,4
2282,67
2285,15
2290,15
2294,89
2295,10
2302,12
2304,65
2308,149
2312,21
2322,5
2328,82
2337,13
2342,28
2345,18
2346,3
2351,72
2356,8
2390,6
2393,18
2402,2
2403,24
2424,82
2435,6
2436,34
2437,95
2439,152
2444,3
2447,23
2461,5
2464,37
2467,45
2482,11
2484,40
2489,28
2490,42
2497,26
2498,87
2504,54
2507,81
2508,12
2518,16
2519,3
2521,5
2536,46
2537,33
2538,19
2547,354
2553,8
2554,9
2555,14
2556,17
2558,342
2562,5
2573,3
2574,16
2577,7
2581,14
2589,110
2593,18
2595,40
2596,34
2598,17
2602,7
2606,16
2615,32
2616,190
2620,345
2622,74
2625,46
2628,11
2633,7
2634,9
2636,27
2644,20
2646,190
2662,26
2663,9
2677,80
62285,149
2751,13
2771,19
2783,82
2784,23
2785,1
2787,16
2797,8
2800,5
2802,19
2803,82
2807,56
2811,19
2812,16
2817,9
2818,40
2820,15
2845,40
2846,190
2847,82
2849,502
2854,392
2856,82
2858,82
2860,79
2870,82
2872,3
2884,46
2886,82
2888,13
2889,2
2891,67
2897,18
2903,23
2908,149
2909,6
2916,15
2917,14
2918,19
2928,190
2929,18
2938,39
2939,18
2940,111
2942,9
2950,8
2951,5
2953,6
2955,60
2960,13
2963,8
2965,13
2982,13
2986,82
2991,55
2999,16
3002,22
3007,75
3011,185
3013,32
3015,31
3016,5
3022,9
3024,247
3026,6
3028,6
3031,88
3033,82
3036,29
3041,11
3048,100
3053,49
3054,26
3055,7
3062,16
3063,45
3066,412
3071,502
3078,46
3082,502
3087,37
3093,16
3103,15
3105,30
3107,7
3108,82
3111,259
3114,34
3116,4
3121,7
3122,37
3126,13
3129,2
3130,95
3138,7
30656,1
3144,7
3153,27
3156,43
3157,32
3158,55
3171,190
3172,165
3178,15
3184,4
3185,82
3200,19
3203,3
3206,64
3216,26
3218,8
3221,55
3226,46
3229,136
3230,66
3231,502
3238,309
3240,23
3243,344
3246,23
3248,4
3255,82
3257,82
3265,42
3273,32
3275,13
3276,111
3277,149
3278,3
3282,107
3288,111
3289,104
3291,17
3297,2
3310,149
3311,8
3315,7
3325,46
3333,36
3336,5
3342,27
3343,24
3349,16
3354,149
3358,32
3362,22
3365,140
3366,149
3369,75
3370,10
3373,34
3375,32
3384,35
3391,82
3394,40
3399,17
3407,82
3408,82
3409,109
3410,145
3413,82
3416,37
3419,82
3422,8
3424,75
3426,32
3429,16
3444,16
3461,110
3465,7
3480,10
3497,73
3500,27
3502,11
3504,73
3505,9
3515,40
3518,19
3524,4
3527,502
3532,11
3547,9
3555,385
3556,7
3562,82
3570,67
3574,7
3580,19
3581,15
3584,123
3594,95
3600,30
3607,15
3609,1
3612,15
3615,37
3617,13
3618,40
3619,14
3622,31
3625,23
3637,94
3639,13
3640,75
3642,9
3643,502
3647,16
3650,10
3662,18
3668,40
3673,28
3684,12
3686,18
3691,188
3693,5
3700,14
3705,115
3707,52
3708,5
3713,40
3734,19
3735,11
3736,18
3747,17
3756,11
3760,126
3761,133
3772,26
3773,149
3776,92
3779,4
3781,15
3782,109
3785,36
3786,71
3793,24
3796,26
3798,85
3799,502
3805,1
3806,20
3807,14
3814,82
3821,17
3824,51
3827,6
3833,15
3835,5
3839,19
3840,20
3844,40
3848,66
3851,26
3855,82
3862,4
3863,4
3872,5
3878,324
3892,7
3895,16
3896,11
3897,15
3905,8
3911,18
3916,161
3917,32
3918,18
3933,104
3935,13
3937,4
3938,24
3946,4
3949,10
3955,88
3962,9
3964,16
3969,10
3971,27
3980,21
4001,25
4005,5
4016,40
4024,12
4029,82
4036,16
4040,13
4050,13
4051,13
4052,61
4054,11
4058,3
4060,18
4062,12
4065,502
4066,19
4069,17
4072,46
4073,17
4077,18
4078,17
4083,11
4087,20
4091,19
4093,82
4103,82
4105,16
4108,19
4115,15
4121,15
4124,6
