175319,0,914,123
63462,0,11282,2420
30259,0,1680,205
175646,0,52656,50397
156383,0,37929,10046
156384,0,27009,5563
29762,0,202,14
1177,0,1018,97
25069,0,354,282
1173,0,448,31
30740,0,31278,5334
157921,0,939,18
13940,0,6641,1040
165699,0,15284,13160
31122,0,228,109
31692,0,56076,52107
23500,0,63304,60089
160719,0,3145,181
5530,0,1435,79
5539,0,1247,140
162925,0,55034,21101
178851,0,12509,8156
145367,0,6253,1003
11161,0,59,0
14403,0,64323,40342
29108,0,15336,9037
178453,0,575,46
143640,0,643,12
8762,0,387,31
29101,0,14947,2298
7183,0,12528,3963
7185,0,549,20
7186,0,3723,228
66161,0,51659,40909
8387,0,9894,5680
8386,0,39,2
61693,0,49096,17310
185269,0,4855,185
127644,0,28,3
13839,0,1319,10
66686,0,6320,773
8087,0,94,1
12874,0,20516,4308
8549,0,10020,2412
65884,0,23753,5882
23616,0,4550,575
8543,0,50,0
8542,0,2919,376
6573,0,492,60
6574,0,740,126
162699,0,9392,600
180193,0,17746,1909
61745,0,18954,19313
27760,0,23,0
61743,0,47149,16079
28180,0,454,12
12065,0,96,0
7694,0,16672,29944
144435,0,394,29
7696,0,1098,307
144437,0,8431,1857
28749,0,2967,127
111940,0,56220,46165
126600,0,4269,790
28216,0,23494,3746
28742,0,653,170
25946,0,2978,1125
3835,0,270,27
63866,0,19961,31176
8807,0,5119,1907
10884,0,147,9
151544,0,52891,49443
155394,0,31,1
155393,0,14250,13736
4036,0,322,19
4186,0,19,1
25462,0,2614,341
60902,0,223,70
60900,0,6754,899
177256,0,115,0
177257,0,13552,4443
177255,0,7669,735
161040,0,1216,89
184442,0,12321,12312
11372,0,233,1
179925,0,2700,187
24708,0,1846,379
4842,0,2517,279
7525,0,14429,2781
5667,0,8232,1843
160888,0,6463,1821
25056,0,1275,185
16668,0,54736,58596
25726,0,395,49
189567,0,4562,460
12711,0,15779,30314
141339,0,996,19
5526,0,33783,5202
12719,0,128,4
184500,0,2237,75
6781,0,14571,5507
64708,0,3911,113
23877,0,2704,315
13619,0,31381,30122
6788,0,12295,7402
164432,0,892,165
185006,0,110,10
141359,0,243,14
4723,0,55909,51005
65643,0,10950,5633
65640,0,34746,4368
120048,0,2722,223
177674,0,376,6
62919,0,19013,1378
177677,0,145,14
118577,0,17427,3595
11286,0,5175,106
186290,0,49626,66175
3203,0,100,1
21118,0,14479,2158
177314,0,50168,58805
177108,0,318,25
177109,0,238,15
148313,0,978,217
25921,0,1009,116
16716,0,14037,4087
16245,0,56173,64333
16714,0,47455,14307
25434,0,1827,129
16710,0,9724,1571
25124,0,2645,230
10466,0,11355,2717
2271,0,267,8
2270,0,1937,155
155174,0,20261,4278
186045,0,21540,10645
10801,0,8526,1488
120134,0,15448,4745
65796,0,58591,48739
63907,0,2642,118
166230,0,185,34
9248,0,4557,2484
162732,0,17217,35688
133871,0,17593,29871
63057,0,8432,2279
9538,0,579,34
141846,0,19777,35762
113093,0,58434,63983
9242,0,1786,472
174393,0,110,21
176070,0,10704,6917
153128,0,907,50
65515,0,51451,18888
138613,0,13528,2683
174390,0,27998,18514
13289,0,47196,47124
13288,0,19502,5238
17534,0,63017,49831
24890,0,467,5
158414,0,46136,48539
29156,0,77,6
2052,0,5528,860
146648,0,12975,2342
4826,0,17680,3963
61839,0,9358,1808
13440,0,6184,1312
175307,0,10434,1548
7982,0,64275,45995
64930,0,46299,38562
26038,0,1372,22
7985,0,1283,375
64934,0,444,7
26037,0,1527,142
24096,0,1084,105
10156,0,5502,892
10405,0,1445,181
62472,0,61930,61051
10407,0,2562,221
8599,0,161,0
24099,0,1585,125
161852,0,5283,877
10390,0,120,14
64334,0,16812,33662
124434,0,3429,382
147849,0,2369,184
27965,0,9054,3621
179298,0,46807,50244
27960,0,97,6
149683,0,103,4
1949,0,10913,795
24291,0,1110,577
1979,0,355,0
14898,0,40,0
176670,0,27875,15260
18844,0,85,0
185619,0,13993,1562
14891,0,356,25
164404,0,5,0
6216,0,229,4
63874,0,4923,2137
6213,0,14823,1126
148531,0,458,183
15708,0,19577,30736
14650,0,9962,3002
9299,0,139,4
62654,0,48863,36636
62655,0,116,6
179624,0,137,6
185018,0,5503,1684
179621,0,1982,169
1661,0,4816,538
62897,0,280,6
62895,0,52989,57205
65732,0,865,106
3231,0,56750,54507
1968,0,114,2
164572,0,9382,2742
3238,0,57692,44826
157865,0,16158,34407
175523,0,2411,160
1611,0,36,0
158053,0,56869,20946
179534,0,1176,112
14603,0,15373,30547
12956,0,15907,1401
2870,0,3168,959
12950,0,122,5
179058,0,90,1
142748,0,649,21
294524,0,3606,210
160661,0,464,3
6461,0,7508,1285
